
 记录时间：2016-08-07 09:28:44,881 -描述：程序启动成功！
 记录时间：2016-08-07 09:29:32,790 -描述：程序启动成功！
 记录时间：2016-08-07 09:30:46,760 -描述：程序启动成功！
 记录时间：2016-08-07 09:31:58,651 -描述：程序启动成功！
 记录时间：2016-08-07 15:28:57,392 -描述：程序启动成功！
 记录时间：2016-08-07 15:30:12,055 -描述：程序启动成功！
 记录时间：2016-08-07 15:30:47,463 -描述：程序启动成功！
 记录时间：2016-08-07 15:32:27,257 -描述：程序启动成功！
 记录时间：2016-08-07 15:33:39,753 -描述：程序启动成功！
 记录时间：2016-08-07 15:35:03,719 -描述：程序启动成功！
 记录时间：2016-08-07 15:35:53,852 -描述：Sheet1$
 记录时间：2016-08-07 15:35:53,885 -描述：备注  
 记录时间：2016-08-07 15:35:53,885 -描述：出生日期  
 记录时间：2016-08-07 15:35:53,885 -描述：户籍地址  
 记录时间：2016-08-07 15:35:53,885 -描述：居住地址  
 记录时间：2016-08-07 15:35:53,885 -描述：联系电话  
 记录时间：2016-08-07 15:35:53,885 -描述：民族  
 记录时间：2016-08-07 15:35:53,885 -描述：人员类型  
 记录时间：2016-08-07 15:35:53,885 -描述：人员姓名  
 记录时间：2016-08-07 15:35:53,885 -描述：涉案名称  
 记录时间：2016-08-07 15:35:53,885 -描述：涉案性质  
 记录时间：2016-08-07 15:35:53,885 -描述：身份证号  
 记录时间：2016-08-07 15:35:53,885 -描述：实验室编号  
 记录时间：2016-08-07 15:35:53,885 -描述：送检人通讯地址  
 记录时间：2016-08-07 15:35:53,885 -描述：送检人姓名  
 记录时间：2016-08-07 15:35:53,886 -描述：送检时间  
 记录时间：2016-08-07 15:35:53,886 -描述：委托单位行政区划  
 记录时间：2016-08-07 15:35:53,886 -描述：性别  
 记录时间：2016-08-07 15:35:53,886 -描述：Sheet2$
 记录时间：2016-08-07 15:35:53,886 -描述：F1  
 记录时间：2016-08-07 15:35:53,886 -描述：Sheet3$
 记录时间：2016-08-07 15:35:53,887 -描述：F1  
 记录时间：2016-08-07 15:57:16,693 -描述：程序启动成功！
 记录时间：2016-08-07 15:57:21,724 -描述：Sheet1$
 记录时间：2016-08-07 15:57:21,729 -描述：备注  
 记录时间：2016-08-07 15:57:21,729 -描述：出生日期  
 记录时间：2016-08-07 15:57:21,729 -描述：户籍地址  
 记录时间：2016-08-07 15:57:21,729 -描述：居住地址  
 记录时间：2016-08-07 15:57:21,729 -描述：联系电话  
 记录时间：2016-08-07 15:57:21,729 -描述：民族  
 记录时间：2016-08-07 15:57:21,729 -描述：人员类型  
 记录时间：2016-08-07 15:57:21,729 -描述：人员姓名  
 记录时间：2016-08-07 15:57:21,729 -描述：涉案名称  
 记录时间：2016-08-07 15:57:21,729 -描述：涉案性质  
 记录时间：2016-08-07 15:57:21,729 -描述：身份证号  
 记录时间：2016-08-07 15:57:21,729 -描述：实验室编号  
 记录时间：2016-08-07 15:57:21,729 -描述：送检人通讯地址  
 记录时间：2016-08-07 15:57:21,729 -描述：送检人姓名  
 记录时间：2016-08-07 15:57:21,729 -描述：送检时间  
 记录时间：2016-08-07 15:57:21,729 -描述：委托单位行政区划  
 记录时间：2016-08-07 15:57:21,729 -描述：性别  
 记录时间：2016-08-07 15:57:21,729 -描述：Sheet2$
 记录时间：2016-08-07 15:57:21,730 -描述：F1  
 记录时间：2016-08-07 15:57:21,730 -描述：Sheet3$
 记录时间：2016-08-07 15:57:21,730 -描述：F1  
 记录时间：2016-08-07 16:10:15,489 -描述：程序启动成功！
 记录时间：2016-08-07 21:38:27,288 -描述：程序启动成功！
